Year,S&P Composite,Dividend,Earnings,CPI,Long Interest Rate,Real Price,Real Dividend,Real Earnings,Cyclically Adjusted PE Ratio
1937-02-28,18.11,0.74,1.08,14.1,2.67,305.37762730496,12.478158156028,18.211365957447,22.244221552805
1937-01-31,17.59,0.73,1.05,14.1,2.68,296.60919184397,12.309534397163,17.705494680851,21.618741582954
1936-12-31,17.06,0.72,1.02,14.0,2.6775,289.72693357143,12.227631428571,17.322477857143,21.125663548155
1936-11-30,17.36,0.683333,0.993333,14.0,2.675,294.82178,11.60492231525,16.869596958107,21.499765341024
1936-10-31,16.89,0.646667,0.966667,14.0,2.6725,286.83985392857,10.98223018475,16.416733041893,20.913091852533
1936-09-30,16.05,0.61,0.94,14.0,2.67,272.57428392857,10.359521071429,15.963852142857,19.862024243288
1936-08-31,15.87,0.59,0.92,14.0,2.6675,269.51737607143,10.019864642857,15.624195714286,19.623060162984
1936-07-31,15.56,0.57,0.9,13.9,2.665,266.1538,9.74985,15.3945,19.360464512319
1936-06-30,14.69,0.55,0.88,13.8,2.6625,253.09326485507,9.4759221014493,15.161475362319,18.393001065831
1936-05-31,14.09,0.533333,0.85,13.7,2.66,244.52783613139,9.2558384973358,14.751501824818,17.750192519329
1936-04-30,14.88,0.516667,0.82,13.7,2.6575,258.23805547445,8.9666049333212,14.230860583942,18.718999665152
1936-03-31,14.86,0.5,0.79,13.7,2.655,257.89096131387,8.6773540145985,13.710219343066,18.660478203926
1936-02-29,14.55,0.49,0.78,13.8,2.6525,250.68121195652,8.4421851449275,13.438580434783,18.104536459518
1936-01-31,13.76,0.48,0.77,13.8,2.65,237.07034202899,8.2698956521739,13.266290942029,17.087359845997
1935-12-31,13.04,0.47,0.76,13.8,2.6616666666667,224.66549855072,8.0976061594203,13.094001449275,16.159192714615
1935-11-30,13.04,0.46,0.76,13.8,2.6733333333333,224.66549855072,7.9253166666667,13.094001449275,16.129605163251
1935-10-31,11.92,0.45,0.76,13.7,2.685,206.86811970803,7.8096186131387,13.18957810219,14.826232627114
1935-09-30,11.61,0.44,0.76,13.7,2.6966666666667,201.48816021898,7.6360715328467,13.18957810219,14.418891702707
1935-08-31,11.37,0.44,0.776667,13.7,2.7083333333333,197.32303029197,7.6360715328467,13.478829020912,14.105056846669
1935-07-31,10.65,0.44,0.793333,13.7,2.72,184.82764051095,7.6360715328467,13.768062584927,13.202137936511
1935-06-30,10.12,0.44,0.81,13.7,2.7316666666667,175.62964525547,7.6360715328467,14.05731350365,12.539519324444
1935-05-31,9.75,0.443333,0.783333,13.8,2.7433333333333,167.98225543478,7.6381617690942,13.496004522717,11.98557668348
1935-04-30,9.04,0.446667,0.756667,13.8,2.755,155.74970144928,7.6956030859783,13.036577361341,11.10421020715
1935-03-31,8.41,0.45,0.73,13.7,2.7666666666667,145.95309452555,7.8096186131387,12.668936861314,10.39827240479
1935-02-28,8.98,0.45,0.65,13.7,2.7783333333333,155.84527810219,7.8096186131387,11.280560218978,11.087812159056
1935-01-31,9.26,0.45,0.57,13.6,2.79,161.88624779412,7.8670422794118,9.9649202205882,11.495907968202
1934-12-31,9.26,0.45,0.49,13.4,2.8175,164.30246044776,7.9844608208955,8.6941906716418,11.639337566476
1934-11-30,9.2,0.4492,0.4858,13.5,2.845,162.0286962963,7.9112272148148,8.555819637037,11.448808690206
1934-10-31,8.95,0.4483,0.4817,13.5,2.8725,157.62574259259,7.8953765814815,8.4836111962963,11.108352605352
1934-09-30,8.88,0.4475,0.4775,13.6,2.9,155.24296764706,7.8233364889706,8.3478059742647,10.909954083289
1934-08-31,9.1,0.4467,0.4733,13.4,2.9275,161.46354104478,7.925908108209,8.3978784589552,11.315025981829
1934-07-31,9.47,0.4458,0.4692,13.4,2.955,168.02854216418,7.9099391865672,8.3251311492537,11.741524229318
1934-06-30,9.94,0.445,0.465,13.4,2.9825,176.36786791045,7.8957445895522,8.2506095149254,12.287726483952
1934-05-31,9.81,0.4442,0.4608,13.3,3.01,175.36997706767,7.9408097669173,8.2375622255639,12.181583235024
1934-04-30,10.92,0.4433,0.4567,13.3,3.0375,195.21306315789,7.9247207781955,8.164267943609,13.51838928449
1934-03-31,10.74,0.4425,0.4525,13.3,3.065,191.99526541353,7.9104194548872,8.0891859962406,13.25453762974
1934-02-28,11.32,0.4417,0.4483,13.3,3.0925,202.36372481203,7.8961181315789,8.0141040488722,13.926922904274
1934-01-31,10.54,0.4408,0.4442,13.2,3.12,189.84735833333,7.9397263333333,8.0009674166667,13.025119828332
1933-12-31,9.97,0.44,0.44,13.2,3.1358333333333,179.58047083333,7.9253166666667,7.9253166666667,12.281801622601
1933-11-30,9.78,0.445,0.4375,13.2,3.1516666666667,176.158175,8.0153770833333,7.8802864583333,12.01176619339
1933-10-31,9.55,0.45,0.435,13.2,3.1675,172.01539583333,8.1054375,7.83525625,11.696253568144
1933-09-30,10.58,0.455,0.4325,13.2,3.1833333333333,190.56784166667,8.1954979166667,7.7902260416667,12.922920614886
1933-08-31,10.67,0.46,0.43,13.2,3.1991666666667,192.18892916667,8.2855583333333,7.7451958333333,12.999527050368
1933-07-31,11.23,0.465,0.4275,13.1,3.215,203.8197851145,8.4395547709924,7.7589455152672,13.754304493875
1933-06-30,10.39,0.47,0.425,12.7,3.2308333333333,194.51348070866,8.7989736220472,7.9565187007874,13.09887551727
1933-05-31,8.87,0.475,0.4225,12.6,3.2466666666667,167.37514007937,8.9631557539683,7.9724911706349,11.249651251932
1933-04-30,6.89,0.48,0.42,12.6,3.2625,130.01293293651,9.0575047619048,7.9253166666667,8.7231016460681
1933-03-31,6.23,0.485,0.4175,12.6,3.2783333333333,117.55886388889,9.1518537698413,7.8781421626984,7.8746813229432
1933-02-28,6.25,0.49,0.415,12.7,3.2941666666667,117.00762795276,9.1733980314961,7.769306496063,7.8260517513166
1933-01-31,7.09,0.495,0.4125,12.9,3.31,130.67557015504,9.1233296511628,7.6027747093023,8.7280461628135
1932-12-31,6.82,0.5,0.41,13.1,3.3408333333333,123.78013664122,9.0747900763359,7.4413278625954,8.2570739991007
